     0/299     6.62G   0.09907    0.0335   0.02886    0.1614        42       640   0.02115  0.006198  0.002697 0.0004478   0.08401   0.03402   0.02679
     1/299     11.5G   0.07405   0.03571   0.02521     0.135        45       640    0.1816    0.1529    0.1278   0.02887   0.06904   0.03517   0.02369
     2/299     11.5G   0.06095    0.0325   0.02355     0.117        59       640    0.1518     0.296    0.1018    0.0193   0.06921   0.02663   0.02096
     3/299     11.5G   0.05995   0.02644   0.02035    0.1067        54       640    0.5181    0.5501    0.4901    0.1428   0.05612   0.02331   0.01629
     4/299     11.5G   0.05855   0.02335   0.01462   0.09651        79       640    0.4248    0.6068    0.4428    0.1055   0.06369   0.01899   0.01158
     5/299     11.5G   0.05644   0.02052   0.01082   0.08778        57       640    0.5724    0.6614    0.5916    0.2296   0.04881   0.01888   0.01111
     6/299     11.5G   0.05392   0.01943  0.009542    0.0829        44       640    0.5569    0.7809    0.6539    0.2466   0.05016   0.01677  0.007765
     7/299     11.5G   0.05015   0.01799  0.008971   0.07712        48       640    0.6696    0.6946    0.6527    0.2352    0.0599   0.01559  0.006813
     8/299     11.5G   0.04766    0.0175  0.007909   0.07307        50       640    0.5654    0.7244    0.6299    0.2329   0.05099   0.01576  0.007407
     9/299     11.5G   0.04609   0.01681  0.007246   0.07015        47       640    0.7118    0.6741    0.7259    0.2927   0.05136   0.01546  0.007175
    10/299     11.5G   0.04482   0.01623   0.00706    0.0681        38       640    0.6523    0.7204    0.6822    0.2163   0.05573   0.01424  0.007851
    11/299     11.5G   0.04359   0.01584  0.006857   0.06629        39       640    0.6834    0.7695    0.7408    0.3743   0.04306   0.01467  0.006827
    12/299     11.5G   0.04045   0.01569  0.007132   0.06327        54       640    0.7211    0.7448    0.7783    0.3598   0.04832   0.01432  0.006464
    13/299     11.5G   0.04069   0.01539  0.006715   0.06279        48       640    0.8805    0.8287    0.8674    0.4779   0.03608   0.01446  0.006498
    14/299     11.5G   0.03903   0.01491  0.006691   0.06063        49       640    0.7145    0.8097    0.8031    0.4033   0.04175   0.01459  0.008044
    15/299     11.5G   0.03952   0.01565  0.006057   0.06123        54       640    0.8861    0.7523     0.835    0.4398   0.04116     0.015   0.01032
    16/299     11.5G   0.03672   0.01529   0.00562   0.05763        49       640    0.8858    0.8339     0.874    0.4791   0.03515   0.01394  0.008367
    17/299     11.5G   0.03643   0.01478  0.006094    0.0573        46       640    0.7942    0.8012    0.8021    0.4335   0.03845   0.01507  0.008686
    18/299     11.5G   0.03451   0.01466  0.005583   0.05475        40       640    0.9311    0.8107    0.8878     0.528   0.03344   0.01472  0.007392
    19/299     11.5G   0.03523   0.01442  0.005308   0.05495        48       640    0.9129    0.7971    0.8672     0.433   0.04054   0.01469  0.007395
    20/299     11.5G   0.03446   0.01479  0.005257   0.05451        59       640    0.9218    0.7941    0.8811    0.5248   0.03478   0.01436  0.008866
    21/299     11.5G   0.03463   0.01517  0.004975   0.05478        54       640    0.9304    0.8289    0.8945    0.5252   0.03341   0.01392  0.006676
    22/299     11.5G   0.03333   0.01449  0.005109   0.05293        71       640    0.8857     0.732    0.8488    0.4991   0.03623   0.01474    0.0125
    23/299     11.5G   0.03409   0.01489  0.005469   0.05446        41       640    0.9225    0.8002    0.8768    0.5036   0.03432   0.01416  0.007605
    24/299     11.5G   0.03239   0.01428  0.005035   0.05171        33       640    0.8748    0.7598    0.8397     0.476   0.03524   0.01497   0.01003
    25/299     11.5G   0.03193   0.01484  0.005901   0.05267        60       640    0.8315    0.7262    0.8182    0.4713   0.03847    0.0151   0.00908
    26/299     11.5G   0.03213   0.01478  0.005595    0.0525        45       640    0.8867    0.7883    0.8512    0.4904   0.03691   0.01586  0.006915
    27/299     11.5G   0.03196   0.01497  0.005623   0.05256        71       640    0.9136    0.8299     0.879     0.544    0.0325   0.01462  0.007498
    28/299     11.5G   0.03095   0.01488  0.005875    0.0517        50       640    0.8726    0.7688    0.8424    0.5102   0.03378   0.01539   0.01003
    29/299     11.5G   0.03131   0.01476  0.005692   0.05176        47       640    0.8978    0.7852    0.8626      0.51   0.03528   0.01506  0.007229
    30/299     11.5G   0.03145   0.01537  0.006086   0.05291        63       640    0.7868    0.7631    0.8004    0.4838   0.03426   0.01648   0.01183
    31/299     11.5G   0.03028   0.01466  0.005872   0.05081        32       640    0.6468    0.5514    0.5402    0.2836   0.04645    0.0181   0.03141
    32/299     11.5G   0.03114   0.01547  0.005804   0.05241        54       640    0.8581    0.7865    0.8502    0.5069   0.03476    0.0151  0.008945
    33/299     11.5G   0.03092   0.01501  0.005741   0.05168        47       640    0.8223    0.7708    0.8243    0.4838   0.03448   0.01443   0.01124
    34/299     11.5G   0.03013   0.01475  0.004911   0.04979        54       640    0.8935    0.7802     0.845    0.5156    0.0329   0.01512  0.008018
    35/299     11.5G   0.03008   0.01455  0.004865   0.04949        42       640    0.9082    0.8122    0.8637    0.4902   0.03623   0.01461  0.009055
    36/299     11.5G   0.02947   0.01464  0.005151   0.04926        50       640     0.894    0.8316     0.889    0.5342   0.03256   0.01422  0.006988
    37/299     11.5G   0.02872   0.01414  0.004796   0.04766        41       640    0.9105    0.8025    0.8776     0.547   0.03052   0.01414  0.008949
    38/299     11.5G   0.02749   0.01389   0.00487   0.04626        40       640     0.872    0.8127     0.873    0.5363   0.03244   0.01467   0.00897
    39/299     11.5G   0.02848   0.01433  0.005297   0.04811        43       640    0.9046    0.8062    0.8701      0.54   0.03206   0.01459  0.008194
    40/299     11.5G   0.02883   0.01455  0.004423    0.0478        70       640    0.9387    0.8121    0.8915    0.5533   0.03163   0.01392  0.007708
    41/299     11.5G   0.02803   0.01387  0.004549   0.04645        35       640    0.9099    0.8396    0.8813    0.5624   0.03082    0.0148  0.006849
    42/299     11.5G   0.02765   0.01394  0.004342   0.04593        48       640    0.9318    0.8013    0.8792    0.5463   0.03153   0.01519  0.008667
    43/299     11.5G   0.02732   0.01351  0.004076    0.0449        40       640    0.8944    0.8122    0.8742    0.5295   0.03182   0.01473   0.01138
    44/299     11.5G   0.02731   0.01369  0.003589   0.04459        52       640       0.9    0.8407    0.8969    0.5465   0.03095   0.01411  0.009201
    45/299     11.5G   0.02677   0.01334  0.003868   0.04398        42       640    0.8964    0.7963    0.8781    0.5534   0.03015   0.01426   0.01258
    46/299     11.5G   0.02697   0.01335  0.003916   0.04424        43       640    0.9026    0.8332    0.8745     0.543   0.03251   0.01537  0.008366
    47/299     11.5G   0.02706   0.01317  0.004121   0.04435        45       640    0.9336    0.8377    0.9053    0.5755   0.02995   0.01381  0.006483
    48/299     11.5G   0.02619    0.0136  0.003677   0.04346        50       640    0.9144    0.8315     0.889    0.5624   0.03085    0.0141  0.009075
    49/299     11.5G   0.02614   0.01335  0.003433   0.04292        49       640    0.9036    0.8489    0.8944    0.5691   0.02958   0.01428  0.006945
    50/299     11.5G   0.02634   0.01335  0.003021   0.04271        35       640    0.9076    0.7915    0.8624    0.5471   0.03068   0.01403   0.01148
    51/299     11.5G   0.02558   0.01272  0.003049   0.04135        51       640    0.9258    0.8491     0.906    0.5869   0.02927    0.0138  0.006222
    52/299     11.5G   0.02569   0.01302   0.00315   0.04186        51       640    0.9219    0.8193    0.8955    0.5842   0.02975   0.01401  0.008465
    53/299     11.5G   0.02577   0.01295  0.003542   0.04227        45       640    0.9288     0.842    0.9056    0.5717   0.02994   0.01403  0.007052
    54/299     11.5G   0.02534   0.01302  0.003389   0.04175        33       640    0.9254    0.8347    0.8955    0.5753   0.02953   0.01434  0.006592
    55/299     11.5G    0.0251   0.01324  0.002838   0.04118        62       640    0.9399    0.8467    0.9042    0.5685   0.03084   0.01428  0.006256
    56/299     11.5G   0.02511   0.01281  0.003432   0.04135        58       640    0.9451     0.813    0.8894    0.5754   0.02939   0.01406  0.007231
    57/299     11.5G   0.02529   0.01278  0.003456   0.04153        53       640    0.9143    0.8571    0.9052    0.5815   0.02929   0.01342  0.006533
    58/299     11.5G    0.0251   0.01291  0.002886   0.04089        48       640    0.9334    0.8158    0.8919    0.5677   0.02907   0.01333  0.008624
    59/299     11.5G   0.02444   0.01272   0.00291   0.04007        59       640    0.9102     0.863    0.9023    0.5897   0.02826   0.01373  0.008557
    60/299     11.5G   0.02419   0.01251  0.002893   0.03959        40       640    0.9458    0.8244    0.9072    0.5869   0.02968    0.0141   0.00835
    61/299     11.5G   0.02483   0.01284  0.003037    0.0407        39       640    0.9457    0.8243    0.8995    0.5807   0.02923   0.01461   0.01178
    62/299     11.5G   0.02418   0.01238  0.003125   0.03968        43       640    0.8889    0.8445    0.8893    0.5873   0.02818    0.0139  0.008068
    63/299     11.5G   0.02425   0.01237  0.002747   0.03936        49       640      0.94    0.8444    0.9128    0.5908   0.02856   0.01402  0.006525
    64/299     11.5G   0.02386   0.01202  0.002318    0.0382        43       640    0.9239    0.8338    0.8915    0.5806   0.02895   0.01484  0.008325
    65/299     11.5G   0.02367   0.01231  0.002842   0.03882        41       640    0.8938    0.8374     0.885    0.5817    0.0298   0.01475  0.009006
    66/299     11.5G    0.0238   0.01227  0.002836   0.03891        34       640    0.9073    0.8521    0.8957    0.5877   0.02858   0.01352  0.008252
    67/299     11.5G   0.02361   0.01231  0.003283   0.03921        54       640    0.9537     0.844    0.9072    0.5919   0.02887    0.0144  0.008705
    68/299     11.5G   0.02313   0.01223  0.002668   0.03803        41       640    0.8915    0.8225    0.8923     0.576   0.02847   0.01432  0.009707
    69/299     11.5G   0.02311   0.01225  0.002656   0.03802        41       640    0.9346    0.8605    0.9076    0.6005   0.02843   0.01399  0.006777
    70/299     11.5G   0.02378   0.01244  0.002484   0.03871        46       640    0.9288    0.8457    0.9004    0.5879   0.02855   0.01458  0.007647
    71/299     11.5G   0.02361   0.01239  0.002222   0.03822        54       640    0.9265    0.8533     0.912    0.6021   0.02803   0.01389  0.006737
    72/299     11.5G   0.02327   0.01206  0.002525   0.03786        54       640    0.9392    0.8522    0.9107    0.5992   0.02826    0.0139  0.008097
    73/299     11.5G   0.02264   0.01212  0.002723   0.03748        34       640    0.9081    0.8574    0.8985    0.5721   0.02991   0.01474  0.006819
    74/299     11.5G   0.02264   0.01189  0.002544   0.03707        49       640    0.9116    0.8439    0.8941    0.5855   0.02879   0.01407  0.008338
    75/299     11.5G   0.02306   0.01215  0.002253   0.03746        59       640    0.9304    0.8766    0.9177    0.6116   0.02853   0.01355  0.006514
    76/299     11.5G   0.02307   0.01198  0.002815   0.03787        55       640    0.9355    0.8142    0.8788    0.5751   0.02901   0.01499  0.008749
    77/299     11.5G   0.02299   0.01208   0.00204    0.0371        36       640    0.9444    0.8437    0.9112    0.6015    0.0282   0.01399   0.00664
    78/299     11.5G   0.02276   0.01191  0.002389   0.03706        40       640    0.9241    0.8491    0.9082    0.5978   0.02776   0.01392  0.008484
